text,intent
на улице тепло,weather
погодка,weather
дождливо,weather
снежно,weather
пасмурно,weather
ясно,weather
солнечно,weather
зонт нужен,weather
дождь будет,weather
снег пойдет,weather
градусы покажи,weather
2+2,addition
5 + 3,addition
10+15,addition
100 + 200,addition
7+8,addition
25 + 75,addition
3+4,addition
50+50,addition
12 + 8,addition
9+1,addition
15 + 25,addition
33+67,addition
44 + 56,addition
11+19,addition
88 + 12,addition
77+23,addition
60 + 40,addition
99+1,addition
1 + 99,addition
55 + 45,addition
30+70,addition
22 + 78,addition
17+83,addition
64 + 36,addition
91+9,addition
8+92,addition
47 + 53,addition
29+71,addition
13 + 87,addition
56+44,addition
38 + 62,addition
74+26,addition
19 + 81,addition
65+35,addition
42 + 58,addition
86+14,addition
27 + 73,addition
51+49,addition
95 + 5,addition
31+69,addition
сколько будет 2+2,addition
посчитай 5+3,addition
10 плюс 15,addition
сколько будет 3+2,addition
посчитай мне,addition
добавь 5 к 10,addition
2 плюс 2,addition
5 и 3 сложить,addition
сумма 10 и 20,addition
время,time
который час,time
сколько времени,time
текущее время,time
какое сейчас время,time
покажи время,time
время сейчас,time
который час сейчас,time
сколько времени сейчас,time
время подскажите,time
часы,time
время покажи,time
который час бот,time
сколько времени бот,time
время бот,time
текущее время бот,time
какое время,time
время подскажи,time
который час друг,time
сколько времени друг,time
время друг,time
часы бот,time
время покажи бот,time
который час робот,time
сколько времени робот,time
время робот,time
текущее время робот,time
какое время сейчас,time
время подскажи бот,time
который час дорогой,time
сколько времени дорогой,time
время дорогой,time
часы друг,time
время покажи друг,time
который час милый,time
сколько времени милый,time
время милый,time
часы робот,time
время покажи робот,time
подскажи время,time
скажи который час,time
покажи часы,time
какое сегодня число,date
какая сегодня дата,date
сегодня какое число,date
какой сегодня день,date
дата сегодня,date
число сегодня,date
какое число,date
какой день сегодня,date
сегодняшняя дата,date
какое сегодня число бот,date
дата сегодня бот,date
число покажи,date
какой день недели,date
сегодня какой день недели,date
день недели,date
какое число завтра,date
дата завтра,date
число на завтра,date
какое было число вчера,date
дата вчера,date
вчера какое число,date
покажи дату,date
скажи число,date
подскажи дату,date
какое сегодня число друг,date
дата сегодня друг,date
число сегодня бот,date
как дела,smalltalk
как ты,smalltalk
как жизнь,smalltalk
что нового,smalltalk
как поживаешь,smalltalk
как настроение,smalltalk
все хорошо,smalltalk
нормально,smalltalk
отлично,smalltalk
плохо,smalltalk
спасибо,smalltalk
благодарю,smalltalk
круто,smalltalk
класс,smalltalk
супер,smalltalk
здорово,smalltalk
понял,smalltalk
ок,smalltalk
хорошо,smalltalk
ладно,smalltalk
ясно,smalltalk
ага,smalltalk
угу,smalltalk
расскажи анекдот,smalltalk
пошути,smalltalk
развлеки меня,smalltalk
скучно,smalltalk
ты кто,smalltalk
кто ты,smalltalk
что ты умеешь,smalltalk
как тебя зовут,smalltalk
ты робот,smalltalk
ты бот,smalltalk
ты человек,smalltalk
ты живой,smalltalk
привет как дела,smalltalk
как ты бот,smalltalk
как жизнь бот,smalltalk
что нового бот,smalltalk
спасибо бот,smalltalk
класс бот,smalltalk
понял бот,smalltalk
ок бот,smalltalk
хорошо бот,smalltalk
